customer_id,first_name,last_name,email,phone_number,gender,dob,signup_date,address,city,state,country,device_id(s),source
0d244537-8164-4b84-bcf2-0e43766f3221,mARIA,day,maria.day697@hotmail.com,449.977.1729x282,M,1988-04-11,2016-12-05,107 Joseph Station,Padillaborough,Oregon,Micronesia,56f3a452-b3f5-488b-b90d-8cb2b3343c70;3ab7d21b-48dd-44f8-88ae-c99a4dd51ef1;faced7cc-4d83-4505-9d86-497626fe16d0;dd49cd20-eacc-49f1-b4b5-92551e77d916,referral
66c5800b-ad5c-4fac-86df-16472d82f02d,KKeevvin, Cantu,kevin.cantu968@gmail.com,501.347.4824x64633,M,1955-09-19,2024-02-03,3577 Anita Knoll Apt. 107,Justinton,Delaware,Portugal,cd83e240-0d50-4e67-b146-23deb6c49940,referral
e7852eee-0a28-46dc-aa34-445a02530746,Ronald,Daniel,ronald.daniel138@yahoo.com,+1-268-822-6332x26814,M,1971-11-02,2016-04-12,3440 Tammy Views Suite 698,New Autumnland,Mississippi,Uganda,369b8950-dfae-44ce-bbb4-d292f118be67,web
14f0e67d-e60e-4989-88cf-5be50d515a69,Katherine,Smith,katherine.smith357@yahoo.com,864-894-1347,F,1955-03-25,2019-06-21,98888 Morales Lakes,New Jose,Minnesota,Bahrain,3e83071f-53ed-4a05-9dfd-5ff2031443b5,web
1ce2f061-345c-4121-a4ba-32963cf9a15d,Brandon,Glover,brandon.glover804@hotmail.com,489.732.5436,M,1968-06-25,2022-01-09,55037 Denise Crest Apt. 565,Port Amber,Oregon,Latvia,751d4410-3d73-4f4c-b432-10a0213b925f,referral
6ddc1772-f210-4111-87c9-c2ec73776c37,Toni,Li,toni.li092@gmail.com,(522)382-8559,F,1981-09-30,2023-11-25,1230 Padilla Parks Suite 647,North Melvintown,Kentucky,Uganda,f8013534-0730-4d00-8120-445e02ebed1f,app
9a3ae2d2-97d7-43b4-843c-ebac2fc0131c,Barbara,Luna,barbara.luna614@yahoo.com,001-063-045-0948x4636,F,1991-01-07,2025-11-01,768 Martha Plaza,Andersonberg,Maine,Guyana,f7bf7b38-f88f-4e85-b065-a163eb909a13,referral
69814e99-477d-48dc-8d7b-2d1137f1cf37,Richard,Benson,richard.benson220@yahoo.com,755.281.0372,M,2002-08-02,2016-02-27,8812 Cheryl Radial Apt. 428,Huntview,Wyoming,Greenland,ceaa4bc8-5dc0-42d8-830f-5461e6fabc1e,web
d081d287-527e-4a77-bd62-50e28a110ddb,James,Ali,james.ali627@yahoo.com,1974876994,M,1968-02-11,2018-04-08,674 Lynch Spring Apt. 341,Martinstad,New Hampshire,Netherlands,6f5f7a22-9b27-4d01-b14e-ad09156419ab,app
5a298d80-e951-4565-98cb-5cb7ef301fc2,JAY,JJoonnes,jay.jones624@yahoo.com,+1-894-933-6997,M,1963-08-22,2023-03-05,82891 Grant Park Suite 174,Brownfort,Wisconsin,Liechtenstein,2d543635-2c5d-46c6-8c8e-5177b328ac31,web
cbb77d6e-4495-4c6b-b8d9-d5c3abd9ce1d,Aaron,White,aaron.white615@yahoo.com,351.424.0980,M,1955-08-17,2023-07-12,07704 Cameron Fork,Lake Amymouth,Arizona,Bouvet Island (Bouvetoya),a0f776d6-bdad-4193-80a5-061dc067fc69,web
999fa048-4fc6-48d8-b200-31ceaccacda2,James,Mejia,james.mejia400@hotmail.com,205.022.2886x1126,M,1983-12-08,2015-05-09,82237 Gonzales Mall,Lopezchester,Maine,Cook Islands,3057a80e-baff-4e0b-8e3a-55ac79b336ab,web
87544ae1-b19c-45b6-944e-8f66395cfe85,Kyle,Romero,kyle.romero277@hotmail.com,353-092-8803,M,1982-02-13,2018-09-05,32009 Banks Plaza Apt. 822,Tammyside,Oregon,Tajikistan,25e7c155-df65-44f6-8d59-5879c4bd767f,referral
1388561a-72d1-4612-ae8b-1de74978e223,Wayne,Smith,wayne.smith368@hotmail.com,927.163.1353,M,1972-10-25,2021-12-23,27487 Gonzalez Corner Suite 590,East Christieshire,Florida,Greenland,f6e5c540-3c28-4155-bf61-b73e4bfa558f,referral
e3eca3cc-9010-498a-b9b5-f24afff9ed64,Leslie,Reynolds,leslie.reynolds736@hotmail.com,(589)341-8236x24713,M,2005-04-27,2016-06-23,54781 Robinson Stravenue Suite 990,West Shannonburgh,Minnesota,Tokelau,bab2bd94-8457-4d52-b8bb-9b9730e2ce43,referral
399487d1-f9c0-4ae2-9227-300ae3eec148,Alan,Brown,alan.brown912@yahoo.com,+1-712-046-0252x3070,F,1980-09-24,2023-10-03,26017 Duncan Village,Joshuatown,Iowa,Angola,7bb28466-408c-4461-9450-c30e3b42a818,referral
723e2735-fe7c-42d8-a527-5f525ec43834,Deborah,Wright,deborah.wright434@hotmail.com,(256)993-8096,F,1959-05-18,2017-11-29,140 Gardner Prairie Apt. 174,North Jenniferfort,Kansas,Sudan,46e6c31c-f53b-44eb-8e00-ab090a1842de,app
d02ecde6-da99-4239-b5da-bb3b1eb421a0,Michael,Ross,michael.ross476@hotmail.com,290-041-9470x081,M,1963-08-31,2016-06-29,98127 Hanna Shore Apt. 662,Larryport,Maine,Paraguay,2690ac62-a581-4aa6-8ac2-4e856be4596c,web
f986c540-f919-44f4-8d26-42397d28da3e,Nathaniel,Wagner,nathaniel.wagner272@yahoo.com,827-308-2086x206,M,2006-01-21,2024-06-07,816 Joshua Isle Apt. 449,South Johnmouth,Alaska,Palau,d8583a1f-4202-4a8d-af68-05a1133255fa,app
